単位,読み,type
.,テン,A8
．,テン,A8
張,チョウ,A5
棟,トウ,C7
枚,マイ,A1
着,チャク,A5
皿,サラ,C8
曲,キョク,A7
名,メイ,A1
冊,サツ,A5
秒,ビョウ,A1
時間,ジカン,B4
週,シュウ,A5
月,ツキ,D2
年,ネン,A1
個,コ,A6
分,フン,A6
日,ニチ,D1
本,ホン,A3
人,ニン,C7
か月,カゲツ,A6
カ月,カゲツ,A6
ヵ月,カゲツ,A6
ケ月,カゲツ,A6
ヶ月,カゲツ,A6
箇月,カゲツ,A6
個月,カゲツ,A6
か所,カショ,A6
カ所,カショ,A6
ヵ所,カショ,A6
ケ所,カショ,A6
ヶ所,カショ,A6
箇所,カショ,A6
個所,カショ,A6
か年,カネン,A6
カ年,カネン,A6
ヵ年,カネン,A6
ケ年,カネン,A6
ヶ年,カネン,A6
箇年,カネン,A6
個年,カネン,A6
か国,カコク,A6
カ国,カコク,A6
ヵ国,カコク,A6
ケ国,カコク,A6
ヶ国,カコク,A6
箇国,カコク,A6
個国,カコク,A6
か条,カジョウ,A6
カ条,カジョウ,A6
ヵ条,カジョウ,A6
ケ条,カジョウ,A6
ヶ条,カジョウ,A6
箇条,カジョウ,A6
個条,カジョウ,A6
か村,カソン,A6
カ村,カソン,A6
ヵ村,カソン,A6
ケ村,カソン,A6
ヶ村,カソン,A6
mm,ミリメートル,A1
ｍｍ,ミリメートル,A1
ミリメートル,ミリメートル,A1
粍,ミリメートル,A1
ミリ,ミリ,A1
cm,センチメートル,A5
ｃｍ,センチメートル,A5
センチメートル,センチメートル,A5
糎,センチメートル,A5
センチ,センチ,A5
m,メートル,A1
ｍ,メートル,A1
メートル,メートル,A1
米,メートル,A1
km,キロメートル,A4
ｋｍ,キロメートル,A4
キロメートル,キロメートル,A4
粁,キロメートル,A4
平方,ヘイホウ,A2
平方ミリメートル,ヘイホウミリメートル,A2
平方センチメートル,ヘイホウセンチメートル,A2
平方メートル,ヘイホウメートル,A2
平方キロメートル,ヘイホウキロメートル,A2
立方,リッポウ,A1
立方ミリメートル,リッポウミリメートル,A1
立方センチメートル,リッポウセンチメートル,A1
立方メートル,リッポウメートル,A1
立方キロメートル,リッポウキロメートル,
mg,ミリグラム,A1
ｍｇ,ミリグラム,A1
ｍグラム,ミリグラム,A1
ミリグラム,ミリグラム,A1
瓱,ミリグラム,A1
g,グラム,A1
ｇ,グラム,A1
グラム,グラム,A1
瓦,グラム,A1
kg,キログラム,A4
ｋｇ,キログラム,A4
ｋグラム,キログラム,A4
キログラム,キログラム,A4
瓩,キログラム,A4
ml,ミリリットル,A1
ｍｌ,ミリリットル,A1
ミリリットル,ミリリットル,A1
竓,ミリリットル,A1
dl,デシリットル,A1
ｄｌ,デシリットル,A1
デシリットル,デシリットル,A1
竕,デシリットル,A1
l,リットル,A1
ｌ,リットル,A1
リットル,リットル,A1
立,リットル,A1
kl,キロリットル,A4
ｋｌ,キロリットル,A4
キロリットル,キロリットル,A4
竏,キロリットル,A4
bit,ビット,A1
ｂｉｔ,ビット,A1
ビット,ビット,A1
byte,バイト,A1
Ｂｙｔｅ,バイト,A1
バイト,バイト,A1
KB,キロバイト,A4
ＫＢ,キロバイト,A4
Ｋｂ,キロバイト,A4
ｋバイト,キロバイト,A4
Ｋバイト,キロバイト,A4
キロバイト,キロバイト,A4
K,キロ,A4
Ｋ,キロ,A4
キロ,キロ,A4
MB,メガバイト,A1
ＭＢ,メガバイト,A1
Ｍｂ,メガバイト,A1
ｍバイト,メガバイト,A1
Ｍバイト,メガバイト,A1
メガバイト,メガバイト,A1
M,メガ,A1
Ｍ,メガ,A1
メガ,メガ,A1
GB,ギガバイト,A1
ＧＢ,ギガバイト,A1
Ｇｂ,ギガバイト,A1
ｇバイト,ギガバイト,A1
Ｇバイト,ギガバイト,A1
ギガバイト,ギガバイト,A1
G,ギガ,A1
Ｇ,ギガ,A1
ギガ,ギガ,A1
TB,テラバイト,A2
ＴＢ,テラバイト,A2
Ｔｂ,テラバイト,A2
ｔバイト,テラバイト,A2
テラバイト,テラバイト,A2
T,テラ,A2
Ｔ,テラ,A2
テラ,テラ,A2
合,ゴウ,A1
階,カイ,A6
ha,ヘクタール,A2
ｈａ,ヘクタール,A2
ヘクタール,ヘクタール,A2
v,ボルト,A1
ｖ,ボルト,A1
ボルト,ボルト,A1
kv,キロボルト,A4
ｋｖ,キロボルト,A4
キロボルト,キロボルト,A4
クラス,クラス,C9
号棟,ゴウトウ,A1
倍,バイ,A1
盗,トウ,A3
鉢,ハチ,C9
基,キ,A7
膳,ゼン,A1
グループ,グループ,A1
角,カク,A6
割,ワリ,A1
海里,カイリ,A4
号室,ゴウシツ,A1
回線,カイセン,A2
選,セン,A3
ダイン,ダイン,A1
部,ブ,A1
粒,ツブ,C9
スイスフラン,スイスフラン,A2
ｍｈｚ,メガヘルツ,A1
版,ハン,A7
号館,ゴウカン,A1
対,ツイ,A3
